filename,loc_physical,loc,cc,fan_in,fan_out
numpy/_core/code_generators/generate_numpy_api.py,325,228,40,3,5
numpy/_core/code_generators/verify_c_api_version.py,66,16,7,3,3
numpy/_core/code_generators/generate_umath_doc.py,50,38,4,3,5
numpy/_core/code_generators/__init__.py,0,0,1,0,0
numpy/_core/code_generators/genapi.py,567,329,77,45,10
numpy/_core/code_generators/generate_umath.py,1643,1362,102,15,7
numpy/_core/code_generators/ufunc_docstrings.py,5506,3408,540,1,120
numpy/_core/code_generators/numpy_api.py,487,375,9,1,4
numpy/_core/src/dummymodule.c,40,23,4,0,1
numpy/_core/src/multiarray/hashdescr.c,321,147,40,6,4
numpy/_core/src/multiarray/strfuncs.c,97,53,6,0,6
numpy/_core/src/multiarray/arrayfunction_override.c,775,227,86,8,9
numpy/_core/src/multiarray/dtype_traversal.c,643,108,60,24,8
numpy/_core/src/multiarray/common.c,473,226,62,3,10
numpy/_core/src/multiarray/item_selection.c,3195,1348,458,87,24
numpy/_core/src/multiarray/datetime_strings.c,1605,288,255,17,8
numpy/_core/src/multiarray/scalarapi.c,654,277,85,18,12
numpy/_core/src/multiarray/buffer.c,1098,397,167,32,12
numpy/_core/src/multiarray/vdot.c,183,98,18,4,4
numpy/_core/src/multiarray/public_dtype_api.c,185,57,17,2,13
numpy/_core/src/multiarray/arraywrap.c,316,131,41,1,7
numpy/_core/src/multiarray/multiarraymodule.c,5161,1974,611,82,61
numpy/_core/src/multiarray/sequence.c,84,33,5,1,9
numpy/_core/src/multiarray/nditer_api.c,2326,817,293,71,3
numpy/_core/src/multiarray/array_assign_array.c,499,138,67,20,11
numpy/_core/src/multiarray/datetime_busdaycal.c,502,36,52,4,9
numpy/_core/src/multiarray/abstractdtypes.c,492,223,57,0,8
numpy/_core/src/multiarray/convert.c,550,265,59,6,18
numpy/_core/src/multiarray/iterators.c,1779,715,186,50,17
numpy/_core/src/multiarray/number.c,773,125,58,5,13
numpy/_core/src/multiarray/refcount.c,519,297,74,12,13
numpy/_core/src/multiarray/dragon4.c,3214,791,326,28,6
numpy/_core/src/multiarray/array_coercion.c,1454,468,211,15,19
numpy/_core/src/multiarray/temp_elide.c,423,97,72,7,8
numpy/_core/src/multiarray/methods.c,3110,605,353,66,31
numpy/_core/src/multiarray/dtypemeta.c,1421,530,169,11,23
numpy/_core/src/multiarray/array_method.c,993,413,128,28,10
numpy/_core/src/multiarray/alloc.c,597,327,73,19,13
numpy/_core/src/multiarray/common_dtype.c,308,111,29,0,8
numpy/_core/src/multiarray/conversion_utils.c,1433,663,183,26,13
numpy/_core/src/multiarray/arrayobject.c,1243,461,135,14,33
numpy/_core/src/multiarray/flagsobject.c,710,383,77,13,9
numpy/_core/src/multiarray/getset.c,992,453,90,9,20
numpy/_core/src/multiarray/fnv.c,85,28,4,0,3
numpy/_core/src/multiarray/dtype_transfer.c,3834,671,382,107,19
numpy/_core/src/multiarray/calculation.c,873,437,96,14,10
numpy/_core/src/multiarray/array_converter.c,477,35,55,6,17
numpy/_core/src/multiarray/array_assign_scalar.c,350,74,47,12,11
numpy/_core/src/multiarray/dlpack.c,727,171,94,9,7
numpy/_core/src/multiarray/nditer_constr.c,3555,1048,502,106,7
