id,number,title,state,user,created_at,updated_at,comments,url
3511974614,165388,DISABLED test_mark_unbacked_with_hint_override_cuda (__main__.GPUTests),open,pytorch-bot[bot],2025-10-14T01:06:31Z,2025-10-22T06:52:42Z,13,https://github.com/pytorch/pytorch/issues/165388
3511974545,165387,DISABLED test_module_to (__main__.FakeTensorOperatorInvariants),open,pytorch-bot[bot],2025-10-14T01:06:28Z,2025-10-14T06:50:08Z,2,https://github.com/pytorch/pytorch/issues/165387
3511974492,165386,DISABLED test_fn_fwgrad_bwgrad_cholesky_solve_cuda_complex128 (__main__.TestFwdGradientsCUDA),open,pytorch-bot[bot],2025-10-14T01:06:25Z,2025-10-14T01:06:28Z,1,https://github.com/pytorch/pytorch/issues/165386
3511970197,165385,[dynamo] Invalid setattr's are not handled properly in general,open,williamwen42,2025-10-14T01:02:57Z,2025-10-14T16:11:02Z,1,https://github.com/pytorch/pytorch/issues/165385
3511422687,165360,More checks for custom op registration,closed,BoyuanFeng,2025-10-13T20:38:43Z,2025-10-13T20:48:23Z,3,https://github.com/pytorch/pytorch/issues/165360
3511211303,165354,[ONNX] Idea of a `torch.onnx.ExportableModule`,open,justinchuby,2025-10-13T19:22:55Z,2025-10-13T19:23:00Z,0,https://github.com/pytorch/pytorch/issues/165354
3511168955,165350,Remove MPSGraph impl of `torch.cat` in favor of Metal kernel,closed,kurtamohler,2025-10-13T19:08:13Z,2025-10-17T00:03:07Z,0,https://github.com/pytorch/pytorch/issues/165350
3511131011,165349,torch.compile custom operators (and maybe more) debug mode,open,zou3519,2025-10-13T18:53:32Z,2025-10-26T18:46:25Z,1,https://github.com/pytorch/pytorch/issues/165349
3511116021,165346,DISABLED test_conj_view_cholesky_solve_cuda_complex64 (__main__.TestMathBitsCUDA),open,pytorch-bot[bot],2025-10-13T18:48:38Z,2025-10-13T18:48:42Z,1,https://github.com/pytorch/pytorch/issues/165346
3511055058,165343,doctests are failing on MacOS,closed,malfet,2025-10-13T18:26:19Z,2025-10-14T19:19:06Z,1,https://github.com/pytorch/pytorch/issues/165343
3511002431,165341,fix registration design for inductor graph partition for vLLM,open,zou3519,2025-10-13T18:09:22Z,2025-10-24T16:38:09Z,4,https://github.com/pytorch/pytorch/issues/165341
3510998164,165340,Nll_loss2d can cause heap corruption.,open,elliott-wen,2025-10-13T18:07:45Z,2025-10-13T21:08:43Z,1,https://github.com/pytorch/pytorch/issues/165340
3510375251,165324,How to enable Bfloat16 when using torch.func.jvp,open,pnotp,2025-10-13T14:52:15Z,2025-10-13T16:22:58Z,0,https://github.com/pytorch/pytorch/issues/165324
3510267566,165320,numerical mismatches in test_cp_flex_attention_causal_mask,open,Aidyn-A,2025-10-13T14:20:29Z,2025-10-19T23:53:33Z,2,https://github.com/pytorch/pytorch/issues/165320
3510192053,165319,Memory leak when converting from numpy array,open,raphaelreme,2025-10-13T13:58:22Z,2025-10-14T08:06:37Z,4,https://github.com/pytorch/pytorch/issues/165319
3509654869,165312,TransformerEncoder crashes with IndexError when num_layers=0,open,abhitorch81,2025-10-13T11:24:46Z,2025-10-14T13:34:02Z,0,https://github.com/pytorch/pytorch/issues/165312
3508751080,165297,[BUG] MaxPool2d with channels_last + bfloat16 on CUDA produces NaNs for large tensors,closed,GCQi,2025-10-13T07:09:15Z,2025-10-16T07:59:51Z,4,https://github.com/pytorch/pytorch/issues/165297
3508700755,165296,DISABLED test_comprehensive___rpow___cuda_float32 (__main__.TestInductorOpInfoCUDA),open,pytorch-bot[bot],2025-10-13T06:49:28Z,2025-10-13T06:49:33Z,1,https://github.com/pytorch/pytorch/issues/165296
3508700668,165295,DISABLED test_noncontiguous_samples_cholesky_solve_cuda_float32 (__main__.TestCommonCUDA),open,pytorch-bot[bot],2025-10-13T06:49:25Z,2025-10-13T12:57:53Z,2,https://github.com/pytorch/pytorch/issues/165295
3508700570,165294,DISABLED test_noncontiguous_samples_cholesky_solve_cuda_complex64 (__main__.TestCommonCUDA),open,pytorch-bot[bot],2025-10-13T06:49:22Z,2025-10-13T06:49:26Z,1,https://github.com/pytorch/pytorch/issues/165294
3508700467,165293,DISABLED test_neg_view_cholesky_solve_cuda_float64 (__main__.TestMathBitsCUDA),closed,pytorch-bot[bot],2025-10-13T06:49:19Z,2025-10-27T06:50:53Z,3,https://github.com/pytorch/pytorch/issues/165293
3508275104,165276,pip install torch==2.7.0 ERROR: No matching distribution found for torch==2.7.0,closed,wangdabee,2025-10-13T02:47:53Z,2025-10-27T08:55:13Z,2,https://github.com/pytorch/pytorch/issues/165276
3171235430,156691,DISABLED test_relative_import_no_modulename (__main__.ReproTests),closed,pytorch-bot[bot],2025-06-24T09:43:48Z,2025-10-27T06:50:50Z,22,https://github.com/pytorch/pytorch/issues/156691
3078442514,153996,UR Error when calling grid_sample,open,KhartesViewer,2025-05-20T23:22:39Z,2025-10-27T10:17:25Z,35,https://github.com/pytorch/pytorch/issues/153996
3001982863,151540,DISABLED test_remove_noop_view_dtype_cpu (__main__.CpuTests),closed,pytorch-bot[bot],2025-04-17T09:42:33Z,2025-10-27T06:50:41Z,39,https://github.com/pytorch/pytorch/issues/151540
3001333064,151512,DISABLED test_remove_noop_view_default_cpu (__main__.CpuTests),closed,pytorch-bot[bot],2025-04-17T03:47:43Z,2025-10-27T06:50:32Z,43,https://github.com/pytorch/pytorch/issues/151512
3001333014,151511,DISABLED test_remove_noop_view_default_cuda (__main__.GPUTests),closed,pytorch-bot[bot],2025-04-17T03:47:39Z,2025-10-27T06:50:56Z,38,https://github.com/pytorch/pytorch/issues/151511
2998033653,151384,DISABLED test_remove_noop_slice_cpu (__main__.CpuTests),closed,pytorch-bot[bot],2025-04-16T01:02:50Z,2025-10-27T06:50:35Z,46,https://github.com/pytorch/pytorch/issues/151384
2998033592,151382,DISABLED test_remove_noop_slice_scatter_cpu (__main__.CpuTests),closed,pytorch-bot[bot],2025-04-16T01:02:47Z,2025-10-27T06:50:38Z,45,https://github.com/pytorch/pytorch/issues/151382
2998033561,151381,DISABLED test_remove_noop_slice1_cuda (__main__.GPUTests),closed,pytorch-bot[bot],2025-04-16T01:02:44Z,2025-10-27T06:50:59Z,42,https://github.com/pytorch/pytorch/issues/151381
2998033527,151379,DISABLED test_remove_noop_slice1_cpu (__main__.CpuTests),closed,pytorch-bot[bot],2025-04-16T01:02:41Z,2025-10-27T06:50:44Z,45,https://github.com/pytorch/pytorch/issues/151379
2998033477,151378,DISABLED test_remove_noop_slice_scatter_cuda (__main__.GPUTests),closed,pytorch-bot[bot],2025-04-16T01:02:38Z,2025-10-27T06:51:02Z,40,https://github.com/pytorch/pytorch/issues/151378
2942328240,149846,Memory leak in torch.save,closed,cdzhan,2025-03-24T07:46:41Z,2025-10-27T09:22:21Z,8,https://github.com/pytorch/pytorch/issues/149846
2475576681,133994,DISABLED test_get_mode_stack (__main__.TestTorchFunctionMode),closed,pytorch-bot[bot],2024-08-20T12:53:38Z,2025-10-27T06:50:47Z,16,https://github.com/pytorch/pytorch/issues/133994
1565235122,93531,TorchInductor CPU Performance Dashboard,open,blzheng,2022-10-13T02:29:48Z,2025-10-27T08:40:34Z,1132,https://github.com/pytorch/pytorch/issues/93531
1240333853,77764,General MPS op coverage tracking issue,open,albanD,2022-05-18T18:12:47Z,2025-10-27T10:58:20Z,1765,https://github.com/pytorch/pytorch/issues/77764
3458973498,163990,Add CI job to track typing changes made to PyTorch,open,lolpack,2025-09-26T20:09:33Z,2025-10-27T12:13:45Z,3,https://github.com/pytorch/pytorch/issues/163990
2901076969,148687,torch.onnx.export with torchaudio Spectrogram doesn't support dynamic batch size,open,sammlapp,2025-03-06T17:59:27Z,2025-10-27T12:22:56Z,23,https://github.com/pytorch/pytorch/issues/148687
